Year,Activity Type,Activity Type Chapter,% Value per Year
2014,Service,Perdiem - New-born Nursery  -  Daily Rate (Day 1 to 3),0.00%
2014,Service,Perdiem - Long Term Stay - Daily Rate - Simple Cases,0.35%
2014,Service,Perdiem - Long Term Stay - Daily Rate - Severe Cases,2.46%
2014,Service,Perdiem - Long Term Stay - Daily Rate - Intermediate Cases,0.37%
2014,Service,Perdiem - Long Term Stay - Daily Rate - Intensive Cases,0.16%
2014,Service,Perdiem - ICU/CCU - Daily Rate (Day 22 and more),0.01%
2014,Service,Perdiem - ICU/CCU - Daily Rate (Day 15 to 21),0.00%
2014,Service,Perdiem - ICU/CCU - Daily Rate (Day 8 to 14),0.01%
2014,Service,Perdiem - ICU/CCU - Daily Rate (Day 1 to 7),0.04%
2014,Service,Perdiem - Haemodialysis  (HD),1.59%
2014,Service,Perdiem - Day Stay (Day care) Surgical Case - Inclusive.,0.82%
2014,Service,Perdiem - Day Stay (Day care) Medical Case - Inclusive.,0.07%
2014,Service,Perdiem - Continuous  Ambulatory Peritoneal Dialysis (CAPD).,0.00%
2014,Service,Perdiem - Companion Accommodation,0.00%
2014,Service,Perdiem - Automated Peritoneal Dialysis (APD).,0.02%
2014,Service,Paediatric intensive care Unit (PICU),0.00%
2014,Service,Outlier Payment,0.68%
2014,Service,Operating Room Services - Minor Surgery,0.00%
2014,Service,Operating Room Services - General Classification,0.00%
2014,Service,Operating Room Services - First Hour,0.00%
2014,Service,Operating Room Services - Every Additional 1/2 hr.,0.00%
2014,Service,Nursery - General Classification,0.00%
2014,Service,"Non-surgical cleansing of a wound without debridement, with or without local anesthesia, with or without the application of a surgical dressing: more than 48 sq inches / 300 sq centimeters.",0.00%
2014,Service,"Non-surgical cleansing of a wound without debridement, with or without local anesthesia, with or without the application of a surgical dressing: between 16 sq inches / 100 sq centimeters  and 48 sq inches / 300 sq centimeters .",0.00%
2014,Service,"Non-surgical cleansing of a wound without debridement, with or without local anesthesia, with or without the application of a surgical dressing: 16 sq inches / 100 sq centimeters or less.",0.01%
2014,Service,Neonatal Intensive Care Unit (NICU),0.00%
2014,Service,Intensive Care Unit (ICU),0.00%
2014,Service,Emergency Room - Hourly Rate,0.00%
2014,Service,"Educational services rendered by Clinician (Physician or Non-Physician) to patient opting out of the  Comprehensive Screening, new or established patient; 10-15 minutes.",0.00%
2014,Service,DRG Add-on Payment for High Cost Consumables,0.01%
2014,Service,Delivery Room,0.00%
2014,Service,Day Stay (Day care) Room - Daily Rate,0.00%
2014,Service,Coronary Care Unit (CCU),0.00%
2014,Service,"Comprehensive screening evaluation and management by clinician of an individual, including an age and gender appropriate history, questionnaire filling, examination, and ordering of laboratory/diagnostic procedures, new or established patient; 30-40 minut",0.03%
2014,Service,"Comprehensive screening by a non-physician clinician of an individual, including vital signs, an age and gender appropriate history, coordination for ordering of laboratory/diagnostic procedures and questionnaire filling, new or established patient; 30-40",0.00%
2014,Service,Catheterization Lab,0.00%
2015,CPT,Urinary System,0.35%
2015,CPT,Respiratory System,0.69%
2015,CPT,Radiology,2.70%
2015,CPT,Radiologic Guidance,0.00%
2015,CPT,Radiation Oncology,0.24%
2015,CPT,Pathology & Laboratory,19.81%
2015,CPT,Operating Microscope,0.00%
2015,CPT,Nuclear Medicine,0.37%
2015,CPT,Nervous System,0.05%
2015,CPT,N/A,0.04%
2015,CPT,Musculoskeletal,0.60%
2015,CPT,Mediastinum & Diaphragm,0.00%
2015,CPT,Maternity Care & Delivery,0.13%
2015,CPT,Male Genital System,0.10%
2015,CPT,Integumentary,0.62%
2015,CPT,Hemic & Lymphatic Systems,0.00%
2015,CPT,General,0.01%
2015,CPT,Female Genital System,0.17%
2015,CPT,Eye & Ocular Adnexa,0.70%
2015,CPT,Evaluation & Management,14.90%
2015,CPT,Endocrine System,0.00%
2015,CPT,Digestive System,0.54%
2015,CPT,Diagnostic Ultrasound,3.12%
2015,CPT,Cardiovascular System,0.12%
2015,CPT,Breast Mammography,0.06%
2015,CPT,Bone/Joint Studies,0.04%
2015,CPT,Auditory System,0.17%
2015,CPT,Anesthesia,0.00%
2015,Dental,Unclassified Treatments,0.01%
2015,Dental,Test/Analysis/Laboratory Procedures/Interpretation And/Or Reports,0.00%
2015,Dental,"Temporomandibular Joint Dysfunctions, Treatment Of",0.00%
2015,Dental,"Template, Surgical (Includes Diagnostic Wax-Up.  Also Used To Locate And Orient Osseo-Integrated Implants)",0.00%
2015,Dental,Surgical Incisions,0.00%
2015,Dental,"Surgical Excisions (Not In Conjunction With Tooth Removal, Including Biopsy)",0.01%
2015,Dental,"Space Maintainers
(Includes The Design, Separation, Fabrication, Insertion And Where Applicable Initial Cementation And Removal)",0.01%
2015,Dental,"Root Canal Therapy
To Include: Treatment Plan, Clinical Procedures (I.E. Pulpectomy, Biomechanical Preparation, Chemotherapeutic Treatment And Obturation), With Appropriate Radiographs And Excluding Final Restoration.",0.29%
2015,Dental,"Restorative Services, Other",0.00%
2015,Dental,"Restorative Procedures, Overdentures",0.00%
2015,Dental,"Restorations, Tooth Coloured/Plastic With/Without Silver Filings",0.95%
2015,Dental,"Restorations, Pre-Fabricated, Full Coverage",0.04%
2015,Dental,"Restorations, Inlays, Onlays, Pins And Posts",0.13%
2015,Dental,"Restorations, Foil, Gold",0.00%
2015,Dental,"Restorations, Amalgam",0.01%
2015,Dental,Restoration,0.07%
2015,Dental,Repairs,0.00%
2015,Dental,"Removals, (Extractions), Surgical",0.11%
2015,Dental,"Removals, (Extractions), Erupted Teeth",0.15%
2015,Dental,"Remodelling And Recontouring Oral Tissues In Preparation For Removable Prostheses (To Include Codes 73110, 73120, 73140, 73150, 73160, 73170, 73180)",0.00%
2015,Dental,"Recontouring Of Retainer/Pontics,
(Of Existing Bridgework)",0.00%
2015,Dental,"Radiographs, Specialty Use Only",0.00%
2015,Dental,Radiographs (Including Radiographic Examination And Diagnosis And Interpretation),0.18%
2015,Dental,"Pulp Chamber, Treatment Of, (Excluding Final Restoration)",0.10%
2015,Dental,Professional Services,0.44%
2015,Dental,Primary Dentition,0.00%
2015,Dental,"Preventive Services, Other",0.07%
2015,Dental,"Pontics, Bridge",0.08%
2015,Dental,Polishing,0.22%
2015,Dental,Permanent Dentition,0.43%
2015,Dental,"Periodontal Services, Surgical (Includes Local Anaesthetic, Suturing And The Placement And Removal Of Initial Surgical Dressing. A Surgical Site Is An Area That Lends Itself To One Or More Procedures. It Is Considered To Include A Full Quadrant, Sextant O",0.11%
2015,Dental,"Periodontal Services, Non Surgical",0.00%
2015,Dental,"Periodontal Services, Miscellaneous",0.00%
2015,Dental,"Periodontal Procedures, Adjunctive (When Per Joint Is Designated, The Corresponding Tooth Code Is Represented By The Mesial Of The Tooth Involved, Except At The Midline, Where The Tooth To The Right Of The Joint Is Utilized.)",0.01%
2015,Dental,Periapical Services,0.00%
2015,Dental,"Orthodontic Services, Miscellaneous",0.01%
2015,Dental,"Oral Surgery Procedures, Other",0.28%
2015,Dental,Mixed Dentition,0.01%
2015,Dental,"Mesostructures
(A Separate Component Positioned Between The Head Of An Implant And The Final Restoration, Retained By Either A Cemented Post Or Screw)",0.07%
2015,Dental,"Maxillofacial Deformities, Treatment Of",0.00%
2015,Dental,Master Cast Techniques,0.00%
2015,Dental,"Laboratory And Expense Procedures (This Code Is Used In Conjunction With The ""+ L"" And ""+ E"" Designation Following Specific Codes In The Guide. The Addition Of These Codes Are To Facilitate Computer Or Manual Input For Third Party Claims Processing, Perso",0.00%
2015,Dental,"Fractures, Treatment Of",0.00%
2015,Dental,"Fixed Prosthetics, Other Services",0.02%
2015,Dental,Fixed Bridge Retainers,0.13%
2015,Dental,"Examination And Diagnosis, Clinical Oral",0.36%
2015,Dental,"Endodontic, Procedures, Miscellaneous",0.01%
2015,Dental,"Drugs/Medication, Dispensing",0.00%
2015,Dental,"Dentures, Replication, Relining And Rebasing",0.00%
2015,Dental,"Dentures, Repairs/Additions",0.00%
2015,Dental,"Dentures, Partial, Cast With Acrylic Base",0.01%
2015,Dental,"Dentures, Partial, Acrylic",0.02%
2015,Dental,"Dentures, Complete (Includes: Impressions, Initial And Final Jaw Relation Records, Try-In Evaluation And Check Records, Insertion And Adjustments, Including Three Months Post Insertion Care.)",0.01%
2015,Dental,"Dentures, Adjustments
(After Three Months Insertion Or By Other Than The Dentist Providing Prosthesis.)",0.00%
2015,Dental,"Crowns, Single Units
(Only)",0.58%
2015,Dental,Bleaching Vital,0.11%
2015,Dental,"Appliances, Retention, Orthodontic Retaining Appliances",0.09%
2015,Dental,"Appliances, Active, For Tooth Guidance Or Minor Tooth Movement",0.03%
2015,Dental,Appliances,0.01%
2015,Dental,"Anatomic Modifications (Reshaping, Recontouring, Or Occlusal Modifications Of A Natural Tooth Or Teeth, Single Or Multiple Restorations, Or The Inter-Articulation Of The Teeth)",0.00%
2015,Dental,Anaesthesia,0.02%
2015,DRG,Newborns & Other Neonates,2.65%
2015,DRG,Mental Diseases & Disorders,0.17%
2015,DRG,"Injuries, Poisonings & Toxic Effects Of Drugs",0.09%
2015,DRG,Infectious & Parasitic Diseases Of Systemic Or Unspecified Sites,0.42%
2015,DRG,Factors Influencing Health Status & Other Contacts With Health Services,0.05%
2015,DRG,Diseases & Disorders Of The Urinary Tract,0.61%
2015,DRG,"Diseases & Disorders Of The Skin, Subcutaneous Tissue & Breast",0.36%
2015,DRG,Diseases & Disorders Of The Respiratory System,2.83%
2015,DRG,Diseases & Disorders Of The Nervous System,0.74%
2015,DRG,Diseases & Disorders Of The Myeloproliferative System & Poorly Differentiated Neoplasms,0.26%
2015,DRG,Diseases & Disorders Of The Musculoskeletal System & Connective Tissue,1.32%
2015,DRG,Diseases & Disorders Of The Male Reproductive System,0.10%
2015,DRG,Diseases & Disorders Of The Hepatobiliary System & Pancreas,0.50%
2015,DRG,Diseases & Disorders Of The Female Reproductive System,0.64%
2015,DRG,Diseases & Disorders Of The Eye,0.04%
2015,DRG,"Diseases & Disorders Of The Endocrine, Nutritional & Metabolic Systems",0.37%
2015,DRG,"Diseases & Disorders Of The Ear, Nose, Mouth & Throat",0.52%
2015,DRG,Diseases & Disorders Of The Digestive System,1.47%
2015,DRG,Diseases & Disorders Of The Circulatory System,2.31%
2015,DRG,"Diseases & Disorders Of Blood, Blood Forming Organs, Immunological System",0.24%
2015,DRG,Childbirth,2.53%
2015,DRG,Alcohol/Drug Abuse & Dependence,0.03%
2015,Drug,Various,0.16%
2015,Drug,"Systemic hormonal preparations, excluding sex hormones and insulins",0.27%
2015,Drug,Sensory organs,0.19%
2015,Drug,Respiratory system,1.19%
2015,Drug,Nervous system,0.68%
2015,Drug,N/A,5.92%
2015,Drug,Musculo-skeletal system,0.60%
2015,Drug,Genito-urinary system and sex hormones,0.39%
2015,Drug,Dermatologicals,0.38%
2015,Drug,Cardiovascular system,2.02%
2015,Drug,Blood and blood forming organs,1.17%
2015,Drug,"Antiparasitic products, insecticides and repellents",0.03%
2015,Drug,Antineoplastic and immunomodulating agents,1.94%
2015,Drug,Antiinfectives for systemic use,1.55%
2015,Drug,Alimentary tract and metabolism,3.00%
2015,HCPCS,Vision Services,0.02%
2015,HCPCS,Transport Services Including Ambulance,2.21%
2015,HCPCS,Temporary Procedures/Professional Services,0.00%
2015,HCPCS,Temporary National Codes Established Medicaid,0.08%
2015,HCPCS,Temporary National Codes Established by Private Payers,0.02%
2015,HCPCS,Temporary Codes assigned to DME Regional Carriers,0.03%
2015,HCPCS,Temporary Codes Assigned by CMS,0.02%
2015,HCPCS,"Respiratory Durable Medical Equipment, Inexpensive and Routinely Purchased",0.02%
2015,HCPCS,Prosthetics,0.05%
2015,HCPCS,Orthotics,0.22%
2015,HCPCS,Medical and Surgical Supplies,0.81%
2015,HCPCS,Laboratory Services,0.00%
2015,HCPCS,Hearing Services,0.20%
2015,HCPCS,Gradient Compression Stockings,0.00%
2015,HCPCS,Enteral and Parenteral Therapy,0.18%
2015,HCPCS,Durable Medical Equipment,0.45%
2015,HCPCS,Drugs Other Than Chemotherapy,0.00%
2015,HCPCS,CMS Hospital Outpatient Payment System,0.29%
2015,HCPCS,Chemotherapy Drugs,0.00%
2015,HCPCS,Behavioural Health and/or Substance Abuse Treatment Services,0.00%
2015,HCPCS,"Administrative, Miscellaneous and Investigational",0.08%
2015,N/A,N/A,0.00%
2015,Service,Tele-consultation resulting in Self Care,0.00%
2015,Service,Tele-consultation resulting in Referral,0.00%
2015,Service,Tele-consultation resulting in Emergency Management,0.00%
2015,Service,Special Care Unit (SCU) or Adult Special-Care Unit (ASCU),0.00%
2015,Service,Special Care Baby Unit (SCBU),0.00%
2015,Service,Short Stay Room - Hourly Rate,0.00%
2015,Service,Short Stay  Room - Daily Rate,0.00%
2015,Service,Room Rate difference - Daily Rate  (Day 1 and more ) - VIP Room,0.00%
2015,Service,Room Rate difference - Daily Rate  (Day 1 and more ) - Suite,0.00%
2015,Service,Room Rate difference - Daily Rate   (Day 1 and more  ) - Royal Suite,0.00%
2015,Service,Room Rate difference - Daily Rate  (Day 1 and more  ) - Isolation Room,0.00%
2015,Service,Room Rate difference - Daily Rate   (Day 1 and more  ) - First Class Room,0.01%
2015,Service,Room and Board: Ward,0.00%
2015,Service,Room and Board:  VIP Room,0.00%
2015,Service,Room and Board:  Suite,0.03%
2015,Service,Room and Board: Shared Room,0.00%
2015,Service,Room and Board: Royal Suite,0.00%
2015,Service,Room and Board: Isolation Room,0.00%
2015,Service,Room and Board: First Class Room,0.00%
2015,Service,Recovery Room  - Hourly Rate,0.00%
2015,Service,Perdiem  - Ward or Shared Room - Daily Rate  (Day 8 and more),0.02%
2015,Service,Perdiem  - Ward or Shared Room - Daily Rate (Day 4 to 8),0.01%
2015,Service,Perdiem  - Ward or Shared Room - Daily Rate (Day 1 to 3),0.03%
2015,Service,Perdiem - Short Stay,0.56%
2015,Service,Perdiem - SCU - Daily Rate (Day 9 and more),0.00%
2015,Service,Perdiem - SCU - Daily Rate (Day 4 to 8),0.00%
2015,Service,Perdiem - SCU - Daily Rate (Day 1 to 3),0.00%
2015,Service,Perdiem - SCBU  - Daily Rate  (Day 9 and more),0.01%
2015,Service,Perdiem - SCBU  - Daily Rate (Day 4 to 8),0.00%
2015,Service,Perdiem - SCBU  - Daily Rate (Day 1 to 3),0.00%
2015,Service,Perdiem - PICU - Daily Rate  (Day 22 and more),0.04%
2015,Service,Perdiem - PICU - Daily Rate (Day 15 to 21),0.00%
2015,Service,Perdiem - PICU - Daily Rate (Day 8 to 14),0.00%
2015,Service,Perdiem - PICU - Daily Rate (Day 1 to 7),0.00%
2015,Service,Perdiem - NICU - Daily Rate (Day 22 and more),0.02%
2015,Service,Perdiem - NICU - Daily Rate (Day 15 to 21),0.01%
2015,Service,Perdiem - NICU - Daily Rate (Day 8 to 14),0.01%
2015,Service,Perdiem - NICU - Daily Rate (Day 1 to 7),0.03%
2015,Service,Perdiem - New-born Nursery  -  Daily Rate (Day 4 to 8),0.00%
2015,Service,Perdiem - New-born Nursery  -  Daily Rate (Day 1 to 3),0.00%
2015,Service,Perdiem - Long Term Stay - Daily Rate - Simple Cases,0.35%
2015,Service,Perdiem - Long Term Stay - Daily Rate - Severe Cases,1.90%
2015,Service,Perdiem - Long Term Stay - Daily Rate - Intermediate Cases,0.39%
2015,Service,Perdiem - Long Term Stay - Daily Rate - Intensive Cases,0.09%
2015,Service,Perdiem - ICU/CCU - Daily Rate (Day 22 and more),0.01%
2015,Service,Perdiem - ICU/CCU - Daily Rate (Day 15 to 21),0.00%
2015,Service,Perdiem - ICU/CCU - Daily Rate (Day 8 to 14),0.01%
2015,Service,Perdiem - ICU/CCU - Daily Rate (Day 1 to 7),0.03%
2015,Service,Perdiem - Haemodialysis  (HD),1.41%
2015,Service,Perdiem - Day Stay (Day care) Surgical Case - Inclusive.,0.77%
2015,Service,Perdiem - Day Stay (Day care) Medical Case - Inclusive.,0.06%
2015,Service,Perdiem - Continuous  Ambulatory Peritoneal Dialysis (CAPD).,0.00%
2015,Service,Perdiem - Companion Accommodation,0.00%
2015,Service,Perdiem - Automated Peritoneal Dialysis (APD).,0.02%
2015,Service,Per Diem-  Bundled Base Payment of home care  (Level 3- Intensive)                                                                                                                              * -A bundled payment that includes all medical services and tra,0.00%
2015,Service,Paediatric intensive care Unit (PICU),0.00%
2015,Service,Outlier Payment,0.81%
2015,Service,Operating Room Services - Minor Surgery,0.00%
2015,Service,Operating Room Services - General Classification,0.00%
2015,Service,Operating Room Services - First Hour,0.00%
2015,Service,Operating Room Services - Every Additional 1/2 hr.,0.00%
2015,Service,Nursery - General Classification,0.00%
2015,Service,"Non-surgical cleansing of a wound without debridement, with or without local anesthesia, with or without the application of a surgical dressing: more than 48 sq inches / 300 sq centimeters.",0.00%
2015,Service,"Non-surgical cleansing of a wound without debridement, with or without local anesthesia, with or without the application of a surgical dressing: between 16 sq inches / 100 sq centimeters  and 48 sq inches / 300 sq centimeters .",0.00%
2015,Service,"Non-surgical cleansing of a wound without debridement, with or without local anesthesia, with or without the application of a surgical dressing: 16 sq inches / 100 sq centimeters or less.",0.02%
2015,Service,Neonatal Intensive Care Unit (NICU),0.00%
2015,Service,Intensive Care Unit (ICU),0.00%
2015,Service,Emergency Room - Hourly Rate,0.00%
2015,Service,DRG Add-on Payment for High Cost Consumables,0.12%
2015,Service,Delivery Room,0.00%
2015,Service,Day Stay (Day care) Room - Daily Rate,0.00%
2015,Service,Coronary Care Unit (CCU),0.00%
2015,Service,"Comprehensive screening evaluation and management by clinician of an individual, including an age and gender appropriate history, questionnaire filling, examination, and ordering of laboratory/diagnostic procedures, new or established patient; 30-40 minut",0.03%
2015,Service,"Comprehensive screening by a non-physician clinician of an individual, including vital signs, an age and gender appropriate history, coordination for ordering of laboratory/diagnostic procedures and questionnaire filling, new or established patient; 30-40",0.00%
2015,Service,Catheterization Lab,0.00%
2016,CPT,Urinary System,0.36%
2016,CPT,Respiratory System,0.59%
2016,CPT,Radiology,2.69%
2016,CPT,Radiologic Guidance,0.01%
2016,CPT,Radiation Oncology,0.23%
2016,CPT,Pathology & Laboratory,19.69%
2016,CPT,Operating Microscope,0.00%
2016,CPT,Nuclear Medicine,0.42%
2016,CPT,Nervous System,0.06%
2016,CPT,N/A,0.04%
2016,CPT,Musculoskeletal,0.58%
2016,CPT,Mediastinum & Diaphragm,0.00%
2016,CPT,Maternity Care & Delivery,0.12%
2016,CPT,Male Genital System,0.10%
2016,CPT,Integumentary,0.59%
2016,CPT,Hemic & Lymphatic Systems,0.00%
2016,CPT,General,0.01%
2016,CPT,Female Genital System,0.16%
2016,CPT,Eye & Ocular Adnexa,0.75%
2016,CPT,Evaluation & Management,14.34%
2016,CPT,Endocrine System,0.00%
2016,CPT,Digestive System,0.59%
2016,CPT,Diagnostic Ultrasound,2.89%
2016,CPT,Cardiovascular System,0.15%
2016,CPT,Breast Mammography,0.07%
2016,CPT,Bone/Joint Studies,0.04%
2016,CPT,Auditory System,0.16%
2016,CPT,Anesthesia,0.00%
2016,Dental,Unclassified Treatments,0.01%
2016,Dental,Test/Analysis/Laboratory Procedures/Interpretation And/Or Reports,0.00%
2016,Dental,"Temporomandibular Joint Dysfunctions, Treatment Of",0.00%
2016,Dental,"Template, Surgical (Includes Diagnostic Wax-Up.  Also Used To Locate And Orient Osseo-Integrated Implants)",0.00%
2016,Dental,Surgical Incisions,0.00%
2016,Dental,"Surgical Excisions (Not In Conjunction With Tooth Removal, Including Biopsy)",0.01%
2016,Dental,"Space Maintainers
(Includes The Design, Separation, Fabrication, Insertion And Where Applicable Initial Cementation And Removal)",0.01%
2016,Dental,"Root Canal Therapy
To Include: Treatment Plan, Clinical Procedures (I.E. Pulpectomy, Biomechanical Preparation, Chemotherapeutic Treatment And Obturation), With Appropriate Radiographs And Excluding Final Restoration.",0.32%
2016,Dental,"Restorative Services, Other",0.01%
2016,Dental,"Restorative Procedures, Overdentures",0.00%
2016,Dental,"Restorations, Tooth Coloured/Plastic With/Without Silver Filings",1.05%
2016,Dental,"Restorations, Pre-Fabricated, Full Coverage",0.06%
2016,Dental,"Restorations, Inlays, Onlays, Pins And Posts",0.16%
2016,Dental,"Restorations, Foil, Gold",0.00%
2016,Dental,"Restorations, Amalgam",0.01%
2016,Dental,Restoration,0.07%
2016,Dental,Repairs,0.00%
2016,Dental,"Removals, (Extractions), Surgical",0.12%
2016,Dental,"Removals, (Extractions), Erupted Teeth",0.16%
2016,Dental,"Remodelling And Recontouring Oral Tissues In Preparation For Removable Prostheses (To Include Codes 73110, 73120, 73140, 73150, 73160, 73170, 73180)",0.00%
2016,Dental,"Recontouring Of Retainer/Pontics,
(Of Existing Bridgework)",0.00%
2016,Dental,"Radiographs, Specialty Use Only",0.00%
2016,Dental,Radiographs (Including Radiographic Examination And Diagnosis And Interpretation),0.21%
2016,Dental,"Pulp Chamber, Treatment Of, (Excluding Final Restoration)",0.11%
2016,Dental,"Prosthondics, Removable, Fabricated In Conjunction With A Denturist",0.00%
2016,Dental,"Prosthesis, Maxillofacial",0.00%
2016,Dental,Professional Services,0.52%
2016,Dental,Primary Dentition,0.00%
2016,Dental,"Preventive Services, Other",0.07%
2016,Dental,"Pontics, Bridge",0.10%
2016,Dental,Polishing,0.25%
2016,Dental,Permanent Dentition,0.47%
2016,Dental,"Periodontal Services, Surgical (Includes Local Anaesthetic, Suturing And The Placement And Removal Of Initial Surgical Dressing. A Surgical Site Is An Area That Lends Itself To One Or More Procedures. It Is Considered To Include A Full Quadrant, Sextant O",0.14%
2016,Dental,"Periodontal Services, Non Surgical",0.00%
2016,Dental,"Periodontal Services, Miscellaneous",0.01%
2016,Dental,"Periodontal Procedures, Adjunctive (When Per Joint Is Designated, The Corresponding Tooth Code Is Represented By The Mesial Of The Tooth Involved, Except At The Midline, Where The Tooth To The Right Of The Joint Is Utilized.)",0.02%
2016,Dental,Periapical Services,0.00%
2016,Dental,"Orthodontic Services, Miscellaneous",0.01%
2016,Dental,"Oral Surgery Procedures, Other",0.34%
2016,Dental,Mixed Dentition,0.01%
2016,Dental,"Mesostructures
(A Separate Component Positioned Between The Head Of An Implant And The Final Restoration, Retained By Either A Cemented Post Or Screw)",0.08%
2016,Dental,"Maxillofacial Deformities, Treatment Of",0.00%
2016,Dental,Master Cast Techniques,0.00%
2016,Dental,"Laboratory And Expense Procedures (This Code Is Used In Conjunction With The ""+ L"" And ""+ E"" Designation Following Specific Codes In The Guide. The Addition Of These Codes Are To Facilitate Computer Or Manual Input For Third Party Claims Processing, Perso",0.00%
2016,Dental,"Frequent Preventative Services Billed On A Time Unit Basis. Services Covered Under This Code Are: Polishing, Scaling, Root Planing, Nutritional Counselling, Oral Hygiene Instruction/Plaque Control And Application Of An Antimicrobial Agent
***Provinces Usi",0.00%
2016,Dental,"Fractures, Treatment Of",0.00%
2016,Dental,"Fixed Prosthetics, Other Services",0.02%
2016,Dental,Fixed Bridge Retainers,0.17%
2016,Dental,"Examination And Diagnosis, Clinical Oral",0.41%
2016,Dental,"Endodontic, Procedures, Miscellaneous",0.01%
2016,Dental,"Drugs/Medication, Dispensing",0.00%
2016,Dental,"Dentures, Replication, Relining And Rebasing",0.00%
2016,Dental,"Dentures, Repairs/Additions",0.00%
2016,Dental,"Dentures, Partial, Cast With Acrylic Base",0.01%
2016,Dental,"Dentures, Partial, Acrylic",0.02%
2016,Dental,"Dentures, Partial  (Fabricated In Conjunction With A Denturist)",0.00%
2016,Dental,"Dentures, Complete (Includes: Impressions, Initial And Final Jaw Relation Records, Try-In Evaluation And Check Records, Insertion And Adjustments, Including Three Months Post Insertion Care.)",0.01%
2016,Dental,"Dentures, Adjustments
(After Three Months Insertion Or By Other Than The Dentist Providing Prosthesis.)",0.00%
2016,Dental,"Crowns, Single Units
(Only)",0.70%
2016,Dental,Bleaching Vital,0.13%
2016,Dental,"Appliances, Retention, Orthodontic Retaining Appliances",0.11%
2016,Dental,"Appliances, Active, For Tooth Guidance Or Minor Tooth Movement",0.03%
2016,Dental,Appliances,0.01%
2016,Dental,"Anatomic Modifications (Reshaping, Recontouring, Or Occlusal Modifications Of A Natural Tooth Or Teeth, Single Or Multiple Restorations, Or The Inter-Articulation Of The Teeth)",0.00%
2016,Dental,Anaesthesia,0.03%
2016,DRG,Newborns & Other Neonates,2.63%
2016,DRG,Mental Diseases & Disorders,0.16%
2016,DRG,"Injuries, Poisonings & Toxic Effects Of Drugs",0.08%
2016,DRG,Infectious & Parasitic Diseases Of Systemic Or Unspecified Sites,0.46%
2016,DRG,Factors Influencing Health Status & Other Contacts With Health Services,0.06%
2016,DRG,Diseases & Disorders Of The Urinary Tract,0.62%
2016,DRG,"Diseases & Disorders Of The Skin, Subcutaneous Tissue & Breast",0.38%
2016,DRG,Diseases & Disorders Of The Respiratory System,2.96%
2016,DRG,Diseases & Disorders Of The Nervous System,0.83%
2016,DRG,Diseases & Disorders Of The Myeloproliferative System & Poorly Differentiated Neoplasms,0.25%
2016,DRG,Diseases & Disorders Of The Musculoskeletal System & Connective Tissue,1.44%
2016,DRG,Diseases & Disorders Of The Male Reproductive System,0.11%
2016,DRG,Diseases & Disorders Of The Hepatobiliary System & Pancreas,0.49%
2016,DRG,Diseases & Disorders Of The Female Reproductive System,0.66%
2016,DRG,Diseases & Disorders Of The Eye,0.04%
2016,DRG,"Diseases & Disorders Of The Endocrine, Nutritional & Metabolic Systems",0.38%
2016,DRG,"Diseases & Disorders Of The Ear, Nose, Mouth & Throat",0.60%
2016,DRG,Diseases & Disorders Of The Digestive System,1.56%
2016,DRG,Diseases & Disorders Of The Circulatory System,2.45%
2016,DRG,"Diseases & Disorders Of Blood, Blood Forming Organs, Immunological System",0.25%
2016,DRG,Childbirth,2.34%
2016,DRG,Alcohol/Drug Abuse & Dependence,0.03%
2016,Drug,Various,0.12%
2016,Drug,"Systemic hormonal preparations, excluding sex hormones and insulins",0.27%
2016,Drug,Sensory organs,0.20%
2016,Drug,Respiratory system,1.05%
2016,Drug,Nervous system,0.54%
2016,Drug,N/A,6.90%
2016,Drug,Musculo-skeletal system,0.49%
2016,Drug,Genito-urinary system and sex hormones,0.41%
2016,Drug,Dermatologicals,0.38%
2016,Drug,Cardiovascular system,1.71%
2016,Drug,Blood and blood forming organs,0.83%
2016,Drug,"Antiparasitic products, insecticides and repellents",0.03%
2016,Drug,Antineoplastic and immunomodulating agents,1.52%
2016,Drug,Antiinfectives for systemic use,1.29%
2016,Drug,Alimentary tract and metabolism,2.57%
2016,HCPCS,Vision Services,0.03%
2016,HCPCS,Transport Services Including Ambulance,1.63%
2016,HCPCS,Temporary Procedures/Professional Services,0.00%
2016,HCPCS,Temporary National Codes Established Medicaid,0.08%
2016,HCPCS,Temporary National Codes Established by Private Payers,0.02%
2016,HCPCS,Temporary Codes assigned to DME Regional Carriers,0.02%
2016,HCPCS,Temporary Codes Assigned by CMS,0.02%
2016,HCPCS,"Respiratory Durable Medical Equipment, Inexpensive and Routinely Purchased",0.02%
2016,HCPCS,Prosthetics,0.06%
2016,HCPCS,Other Medical Services,0.00%
2016,HCPCS,Orthotics,0.25%
2016,HCPCS,Medical and Surgical Supplies,0.87%
2016,HCPCS,Laboratory Services,0.00%
2016,HCPCS,Hearing Services,0.23%
2016,HCPCS,Gradient Compression Stockings,0.00%
2016,HCPCS,Enteral and Parenteral Therapy,0.19%
2016,HCPCS,Durable Medical Equipment,0.38%
2016,HCPCS,Drugs Other Than Chemotherapy,0.00%
2016,HCPCS,CMS Hospital Outpatient Payment System,0.28%
2016,HCPCS,Chemotherapy Drugs,0.00%
2016,HCPCS,Behavioural Health and/or Substance Abuse Treatment Services,0.00%
2016,HCPCS,"Administrative, Miscellaneous and Investigational",0.09%
2016,HCPCS,0,0.00%
2016,N/A,N/A,0.00%
